TRADEDATE,ADMITTEDQUOTE,ADMITTEDVALUE,BEICLOSE,BID,BOARDID,BOARDNAME,BUYBACKDATE,CBRCLOSE,CLOSE,CLOSEAUCTIONPRICE,CLOSEPERIOD,CLOSEVAL,COUPONPERCENT,COUPONVALUE,CURRENCYID,DAILYCAPITALIZATION,DECIMALS,FACEUNIT,FACEVALUE,HIGH,HIGHBID,IRICPICLOSE,ISIN,ISSUESIZE,LASTPRICE,LASTTRADEDATE,LEGALCLOSEPRICE,LEGALOPENPRICE,LISTNAME,LOW,LOWOFFER,MARKETPRICE,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3CUR,MARKETPRICE3TRADESVALUE,MARKETPRICE3TRADESVALUECUR,MONTHLYCAPITALIZATION,MP2VALTRD,MPVALTRD,NUMBID,NUMOFFER,NUMTRADES,OFFER,OFFERDATE,OPEN,OPENPERIOD,OPENVAL,PREV,PREVLEGALCLOSEPRICE,REGNUMBER,SECID,SHORTNAME,TRADINGSESSION,TRENDCLOSE,TRENDCLSPR,TRENDWAP,TRENDWAPPR,TYPE,VALUE,VOLUME,WAPRICE,WAVAL,YIELDLASTCOUPON,YIELDTOOFFER
2018-09-26,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-10.48,,,,,,,,,,,,,47.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,162771153.23,,0.0,,,
2018-09-27,,,,,EQRP,,,,7.6,,,,,,,,,,,7.86,,,,,,,,,,7.35,,,,,,,,,,,,,58.0,,,7.7,,,,,,MGNT,Магнит ао,3.0,,,,,,2358409702.88,,7.49,,,
2018-09-27,,,,,PSRP,,,,7.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,39.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,936467300.44,,0.0,,,
2018-09-28,,,,,EQRP,,,,6.35,,,,,,,,,,,7.97,,,,,,,,,,6.35,,,,,,,,,,,,,48.0,,,7.35,,,,,,MGNT,Магнит ао,3.0,,,,,,1659391987.2,,7.43,,,
2018-09-28,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-10.7,,,,,,,,,,,,,49.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,93662683.42,,0.0,,,
2018-10-01,,,,,EQRP,,,,7.26,,,,,,,,,,,7.5,,,,,,,,,,7.16,,,,,,,,,,,,,65.0,,,7.43,,,,,,MGNT,Магнит ао,3.0,,,,,,2877381223.47,,7.41,,,
2018-10-01,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-8.0,,,,,,,,,,,,,41.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,69404140.74,,0.0,,,
2018-10-02,,,,,EQRP,,,,6.52,,,,,,,,,,,7.5,,,,,,,,,,6.52,,,,,,,,,,,,,91.0,,,7.28,,,,,,MGNT,Магнит ао,3.0,,,,,,3401977921.2,,7.25,,,
2018-10-02,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-7.0,,,,,,,,,,,,,45.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,107811103.14,,0.0,,,
2018-10-03,,,,,EQRP,,,,7.54,,,,,,,,,,,7.54,,,,,,,,,,7.26,,,,,,,,,,,,,28.0,,,7.26,,,,,,MGNT,Магнит ао,3.0,,,,,,1273669908.7,,7.35,,,
2018-10-03,,,,,PSRP,,,,2.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,49.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,616925043.36,,0.0,,,
